Date,Type,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),End,Sleep quality,Time in bed
9/20/18,Walking,3.54,1:03:22,17:56,3.35,424.0,164,9/21/18,80%,7:52
7/30/18,Walking,0.93,15:15,16:22,3.66,114.0,30,7/31/18,48%,7:37
7/22/18,Walking,3.14,53:03:00,16:53,3.55,399.0,152,7/23/18,64%,7:04
8/15/17,Running,2.24,21:17,9:31,6.3,384.0,100,8/16/17,0%,0:00
8/27/17,Running,2.27,20:14,8:55,6.73,390.0,101,8/28/17,85%,7:08
8/29/17,Running,2.31,20:59,9:06,6.59,395.0,102,8/30/17,79%,7:22
8/30/17,Running,2.55,23:04,9:04,6.62,435.0,110,8/31/17,72%,6:05
9/11/17,Running,2.27,20:04,8:50,6.8,391.0,100,9/12/17,69%,7:10
9/16/17,Running,2.04,17:10,8:25,7.13,339.0,18,9/17/17,64%,7:52
9/21/17,Running,2.3,20:58,9:07,6.58,388.0,102,9/22/17,54%,6:34
10/1/17,Running,2.28,25:20:00,11:07,5.39,387.0,102,10/2/17,81%,7:48
10/9/17,Running,2.19,21:53,10:00,6.0,376.0,101,10/10/17,72%,6:56
11/3/17,Running,2.29,21:11,9:15,6.49,393.0,100,11/4/17,84%,7:24
12/3/17,Running,2.3,21:17,9:16,6.48,395.0,103,12/4/17,100%,8:34
12/16/17,Running,2.3,22:45,9:53,6.07,394.0,105,12/17/17,49%,5:32
2/27/18,Running,2.17,22:01,10:08,5.92,371.0,93,2/28/18,82%,6:57
3/18/18,Running,3.34,40:13:00,12:02,4.99,523.0,127,3/19/18,57%,7:26
3/20/18,Running,2.28,22:00,9:39,6.22,392.0,101,3/21/18,85%,7:09
4/17/18,Running,2.73,23:04,8:28,7.09,412.0,105,4/18/18,75%,7:00
4/19/18,Running,3.25,31:25:00,9:40,6.21,550.0,117,4/20/18,66%,6:16
4/22/18,Running,2.36,22:43,9:37,6.24,407.0,100,4/23/18,85%,7:31
4/24/18,Running,2.88,28:21:00,9:50,6.1,490.0,110,4/25/18,0%,0:00
4/26/18,Running,2.3,22:17,9:42,6.19,395.0,102,4/27/18,87%,7:10
5/1/18,Running,2.49,25:15:00,10:09,5.91,423.0,104,5/2/18,73%,7:15
5/5/18,Running,2.05,17:52,8:44,6.87,340.0,18,5/6/18,94%,8:37
5/5/18,Running,2.06,25:04:00,12:09,4.94,352.0,77,5/6/18,94%,8:37
5/6/18,Running,1.68,24:23:00,14:33,4.12,235.0,80,5/7/18,77%,7:03
5/7/18,Running,2.32,22:25,9:41,6.2,398.0,105,5/8/18,74%,6:48
5/14/18,Running,2.29,23:01,10:04,5.96,394.0,98,5/15/18,70%,7:13
5/21/18,Running,2.29,22:31,9:50,6.11,393.0,100,5/22/18,65%,8:08
5/28/18,Running,3.04,30:10:00,9:56,6.04,518.0,115,5/29/18,76%,7:25
6/1/18,Running,1.19,20:09,16:55,3.55,167.0,17,6/2/18,78%,7:56
8/13/18,Running,2.19,22:55,10:28,5.73,362.0,33,8/14/18,53%,6:39
8/19/18,Running,2.28,23:06,10:09,5.91,391.0,101,8/20/18,69%,7:19
8/21/18,Running,2.37,24:28:00,10:19,5.81,406.0,101,8/22/18,70%,6:15
8/28/18,Running,2.31,29:31:00,12:48,4.69,380.0,108,8/29/18,76%,7:23
9/10/18,Running,2.27,22:19,9:51,6.1,390.0,98,9/11/18,73%,7:06
9/11/18,Running,2.3,23:07,10:04,5.96,395.0,101,9/12/18,73%,7:02
9/16/18,Running,3.94,1:02:43,15:56,3.77,538.0,166,9/17/18,77%,7:00
9/17/18,Running,2.17,22:37,10:24,5.77,361.0,32,9/18/18,87%,7:49
9/18/18,Running,2.26,22:19,9:54,6.06,389.0,98,9/19/18,76%,7:33
9/23/18,Running,1.62,18:46,11:34,5.19,257.0,25,9/24/18,83%,8:03
9/23/18,Running,2.43,24:48:00,10:12,5.88,425.0,142,9/24/18,83%,8:03
9/30/18,Running,3.05,30:56:00,10:09,5.91,528.0,159,10/1/18,63%,6:55
10/1/18,Running,2.27,20:47,9:09,6.55,390.0,98,10/2/18,76%,6:42
10/2/18,Running,2.27,23:06,10:12,5.89,385.0,98,10/3/18,61%,7:10
10/7/18,Running,2.35,22:45,9:42,6.19,402.0,101,10/8/18,76%,7:28
10/8/18,Running,2.18,22:21,10:16,5.85,375.0,96,10/9/18,70%,7:01
10/18/18,Running,2.28,22:28,9:52,6.08,390.0,103,10/19/18,62%,5:49
11/6/18,Running,2.33,22:38,9:44,6.16,394.0,101,11/7/18,93%,7:41
12/16/18,Running,2.35,22:37,9:38,6.23,403.0,99,12/17/18,82%,7:23
1/6/19,Running,2.28,22:18,9:47,6.14,391.0,102,1/7/19,85%,6:45
